500 120000
394 454 973
90 158 72
205 258 928
104 408 112
165 459 5
26 189 678
212 405 368
46 471 335
78 222 192
71 141 623
228 237 45
243 439 832
260 285 100
75 464 242
53 368 402
328 376 380
190 342 463
314 431 192
99 258 882
351 494 551
30 264 641
117 243 977
90 129 819
154 465 452
102 261 87
14 34 149
106 351 414
191 232 507
29 217 272
317 406 738
303 361 404
232 456 225
245 256 59
52 273 767
275 443 358
313 498 406
261 319 751
201 243 887
209 249 27
169 277 542
427 494 521
3 91 469
170 201 985
464 488 788
460 495 928
307 340 781
312 465 860
354 362 777
330 368 986
17 197 249
8 144 84
70 488 563
281 435 541
402 436 137
205 206 255
76 456 862
20 34 617
38 120 744
148 326 157
79 385 40
14 152 46
79 164 243
194 497 88
328 421 939
283 418 411
68 256 197
195 246 517
20 164 440
58 472 155
107 136 294
158 370 255
238 284 266
157 466 246
75 317 796
101 314 970
1 95 299
105 491 472
391 416 810
190 453 441
302 373 135
5 71 893
41 168 438
55 477 3
86 242 227
356 372 537
343 372 675
77 117 627
42 227 151
83 452 575
15 18 614
239 434 827
55 152 863
333 415 179
74 417 257
239 350 956
102 385 410
151 325 406
100 231 777
323 361 39
5 284 429
57 200 765
5 133 300
416 421 352
49 447 49
305 476 218
284 323 568
62 454 20
125 211 139
31 380 48
76 231 241
387 491 85
288 438 814
281 283 863
122 443 862
16 42 472
256 294 398
329 454 909
61 223 823
305 451 189
46 62 552
48 387 247
137 356 624
231 289 112
263 389 434
46 209 493
11 325 110
16 31 455
196 401 136
70 459 185
276 430 381
2 112 791
33 368 263
74 101 754
83 287 235
197 379 770
131 438 811
304 390 752
68 190 825
15 389 498
261 384 56
70 293 307
84 140 717
311 421 128
104 145 767
437 474 887
71 184 343
78 213 207
201 472 546
13 441 955
403 489 200
113 291 589
132 453 932
27 480 554
186 190 301
292 492 372
25 461 734
187 203 469
159 439 595
26 220 211
240 370 321
1 481 87
237 339 408
19 428 500
168 231 116
270 461 550
72 404 343
14 313 259
209 218 855
61 268 461
135 301 531
206 281 181
12 18 479
15 67 891
55 455 955
215 405 391
40 92 616
326 430 986
293 349 827
208 230 901
314 348 828
419 498 608
341 450 115
222 404 461
123 299 789
20 101 211
290 466 852
181 369 45
38 186 753
100 108 419
120 413 588
36 215 809
232 436 869
26 427 357
286 360 542
323 367 192
212 221 827
43 185 736
12 30 667
21 30 633
301 340 774
46 140 429
109 354 235
100 242 128
112 489 225
246 260 367
235 426 587
87 98 580
53 286 44
37 411 305
141 373 50
367 442 621
170 249 292
34 432 532
191 341 790
329 335 989
219 396 256
42 361 375
380 490 76
442 463 434
60 119 50
344 397 556
152 370 989
145 227 571
21 246 65
344 359 753
242 280 79
272 382 582
212 447 596
48 142 646
82 446 962
109 211 114
21 416 189
280 306 142
39 292 180
129 287 698
184 491 240
243 273 249
268 379 871
173 310 970
3 392 761
179 466 927
38 225 189
71 205 639
167 348 187
151 188 387
351 484 13
372 476 899
221 344 944
24 169 111
99 203 836
25 314 239
309 353 614
94 107 650
206 426 674
8 108 913
43 354 136
155 433 3
253 440 632
165 462 926
19 152 865
281 282 954
133 294 6
111 319 820
32 362 643
181 411 817
25 380 446
205 496 313
14 318 190
309 499 620
124 127 854
12 51 228
49 51 96
246 362 887
41 240 496
191 328 545
140 251 941
350 392 515
18 313 55
13 15 679
240 241 317
260 346 738
147 378 880
145 190 12
276 404 77
234 493 98
200 326 533
46 325 478
65 115 691
301 441 937
50 160 316
262 475 928
158 495 256
490 491 954
69 444 607
234 311 247
37 279 246
237 329 66
52 235 733
380 461 427
262 298 625
100 149 512
76 153 651
114 398 119
328 356 80
187 353 903
8 308 761
53 180 414
46 88 403
129 259 706
126 273 388
54 83 169
178 250 799
157 429 453
289 303 560
62 403 305
193 409 933
317 489 662
247 392 423
1 94 210
246 441 429
266 297 910
264 450 165
38 165 286
61 302 464
47 377 917
124 409 928
164 493 785
342 489 240
41 260 434
30 472 583
88 154 719
386 419 357
207 492 239
175 439 335
157 486 369
99 400 447
315 329 256
147 288 958
211 499 958
398 431 501
2 336 974
238 270 968
315 388 718
201 235 790
202 291 746
244 369 793
224 256 483
173 387 28
86 258 461
113 364 790
201 338 148
127 240 479
54 287 508
324 384 92
146 298 271
131 306 538
376 406 882
41 200 592
39 456 182
81 411 949
20 66 818
117 304 511
162 224 611
112 439 575
220 321 303
290 371 62
211 335 706
74 397 418
167 438 689
63 483 524
80 250 413
334 463 551
22 425 36
54 363 349
12 309 695
49 369 670
105 228 203
227 371 773
83 476 291
181 185 311
336 458 346
141 303 139
240 326 192
161 424 521
42 373 959
234 398 438
204 337 602
113 278 658
42 67 297
303 410 947
234 344 737
122 449 879
133 439 624
223 450 575
154 392 126
116 331 898
34 118 852
60 261 365
218 251 131
369 390 197
410 459 663
212 282 757
4 150 241
424 465 100
208 432 548
33 339 320
50 418 330
65 453 536
6 495 396
291 419 408
240 416 469
8 354 952
341 370 46
44 216 639
65 302 343
180 233 155
350 391 694
44 155 779
371 459 283
112 389 219
152 333 184
19 249 381
56 99 83
135 159 233
152 369 437
103 296 963
206 285 678
256 478 807
268 449 656
3 201 808
127 471 484
71 432 685
136 404 464
9 379 112
202 319 19
142 214 466
85 452 555
104 485 26
297 339 306
29 211 602
136 310 746
165 183 277
55 228 891
53 346 706
119 313 49
18 219 815
160 349 316
44 422 657
192 195 805
380 417 477
228 264 146
51 457 222
243 270 86
265 326 833
47 191 36
209 378 632
428 467 566
311 315 828
212 317 393
218 316 989
8 231 184
212 255 12
96 433 350
108 497 716
132 470 327
74 140 86
246 376 111
157 193 525
112 225 331
88 379 63
268 480 453
226 452 218
323 422 987
45 327 237
325 433 140
168 348 665
284 345 912
402 442 556
101 450 288
41 290 677
116 384 725
43 499 845
7 134 494
364 470 548
201 453 988
256 327 50
159 204 94
187 267 84
62 163 280
84 477 987
17 426 712
178 319 188
147 423 772
98 274 161
243 494 870
223 449 873
160 306 821
10 245 810
47 332 865
249 395 197
166 209 937
72 295 429
311 370 408
1 477 561
61 314 931
308 366 357
268 281 80
162 238 736
6 68 851
23 309 605
80 489 694
387 445 816
277 441 720
40 229 584
256 479 765
61 287 614
266 374 508
141 418 438
332 469 839
63 65 618
216 251 56
87 133 402
445 496 222
145 174 782
229 425 66
11 187 30
162 362 118
459 490 702
49 154 410
114 221 105
91 112 837
124 485 285
36 54 919
402 464 459
26 254 52
312 347 825
180 390 558
298 482 471
387 471 413
397 449 499
429 456 521
106 402 145
222 457 507
125 438 67
77 175 994
254 431 615
212 331 472
60 62 341
111 262 921
43 491 202
49 339 439
419 488 438
174 233 62
422 454 312
7 86 161
26 224 606
246 331 857
52 263 986
49 267 59
130 408 718
328 335 426
276 379 101
316 463 382
6 352 388
292 385 451
87 232 49
385 457 586
58 318 4
67 135 505
179 341 710
17 332 91
91 447 473
334 439 53
105 315 463
46 54 617
81 125 882
53 145 178
163 441 420
177 368 446
254 415 916
142 230 171
74 364 496
111 200 368
206 377 673
30 202 338
157 236 721
437 476 594
113 416 827
303 345 266
68 366 609
12 274 680
106 491 549
99 409 649
150 484 887
78 369 12
127 145 921
165 489 244
129 488 916
416 436 578
33 154 92
